language,sentences,chars,tokens_cl100k_base,ratio_cl100k_base,chars_per_token_cl100k_base,tokens_o200k_base,ratio_o200k_base,chars_per_token_o200k_base
hat_Latn,1012,121286,47250,1.7383,2.567,37945,1.412,3.196
jav_Latn,1012,136928,46981,1.7284,2.915,36826,1.3704,3.718
kea_Latn,1012,130825,46924,1.7263,2.788,41598,1.5479,3.145
cat_Latn,1012,145796,46482,1.71,3.137,39849,1.4829,3.659
bjn_Latn,1012,138202,46479,1.7099,2.973,38913,1.448,3.552
vec_Latn,1012,133256,46350,1.7052,2.875,41815,1.556,3.187
afr_Latn,1012,139691,45897,1.6885,3.044,38362,1.4275,3.641
nno_Latn,1012,133464,44605,1.641,2.992,37806,1.4068,3.53
ita_Latn,1012,156138,44594,1.6406,3.501,39479,1.4691,3.955
dan_Latn,1012,135459,44244,1.6277,3.062,37486,1.3949,3.614
zsm_Latn,1012,146218,43979,1.6179,3.325,34960,1.3009,4.182
fra_Latn,1012,157688,43710,1.608,3.608,36808,1.3697,4.284
nld_Latn,1012,147529,43583,1.6034,3.385,33514,1.2471,4.402
ast_Latn,1012,136658,43184,1.5887,3.165,38260,1.4237,3.572
deu_Latn,1012,153809,43103,1.5857,3.568,35224,1.3108,4.367
swe_Latn,1012,132173,42861,1.5768,3.084,36287,1.3503,3.642
glg_Latn,1012,146143,42448,1.5616,3.443,35880,1.3352,4.073
nob_Latn,1012,132139,42442,1.5614,3.113,36254,1.3491,3.645
pag_Latn,1012,129924,42248,1.5543,3.075,38385,1.4284,3.385
ind_Latn,1012,142406,42162,1.5511,3.378,33570,1.2492,4.242
spa_Latn,1012,157041,41974,1.5442,3.741,35415,1.3179,4.434
por_Latn,1012,143489,40179,1.4781,3.571,32922,1.2251,4.358
eng_Latn,1012,131966,27182,1.0,4.855,26873,1.0,4.911
